code,sppid,species,scinam,order,family,taxon,display
CLNU,ClarksNutcracker,Clark's Nutcracker,Nucifraga columbiana,Passeriformes,Corvidae,birds,Clark's Nutcracker
CLSW,CliffSwallow,Cliff Swallow,Petrochelidon pyrrhonota,Passeriformes,Hirundinidae,birds,Cliff Swallow
CMWA,CapeMayWarbler,Cape May Warbler,Setophaga tigrina,Passeriformes,Parulidae,birds,Cape May Warbler
COGO,CommonGoldeneye,Common Goldeneye,Bucephala clangula,Anseriformes,Anatidae,birds,Common Goldeneye
COGR,CommonGrackle,Common Grackle,Quiscalus quiscula,Passeriformes,Icteridae,birds,Common Grackle
COLO,CommonLoon,Common Loon,Gavia immer,Gaviiformes,Gaviidae,birds,Common Loon
COME,CommonMerganser,Common Merganser,Mergus merganser,Anseriformes,Anatidae,birds,Common Merganser
CONI,CommonNighthawk,Common Nighthawk,Chordeiles minor,Caprimulgiformes,Caprimulgidae,birds,Common Nighthawk
CONW,ConnecticutWarbler,Connecticut Warbler,Oporornis agilis,Passeriformes,Parulidae,birds,Connecticut Warbler
CORA,CommonRaven,Common Raven,Corvus corax,Passeriformes,Corvidae,birds,Common Raven
CORE,CommonRedpoll,Common Redpoll,Acanthis flammea,Passeriformes,Fringillidae,birds,Common Redpoll
COTE,CommonTern,Common Tern,Sterna hirundo,Charadriiformes,Laridae,birds,Common Tern
COYE,CommonYellowthroat,Common Yellowthroat,Geothlypis trichas,Passeriformes,Parulidae,birds,Common Yellowthroat
CSWA,ChestnutsidedWarbler,Chestnut-sided Warbler,Setophaga pensylvanica,Passeriformes,Parulidae,birds,Chestnut-sided Warbler
DEJU,DarkeyedJunco,Dark-eyed Junco,Junco hyemalis,Passeriformes,Emberizidae,birds,Dark-eyed Junco
DOWO,DownyWoodpecker,Downy Woodpecker,Picoides pubescens,Piciformes,Picidae,birds,Downy Woodpecker
DUFL,DuskyFlycatcher,Dusky Flycatcher,Empidonax oberholseri,Passeriformes,Tyrannidae,birds,Dusky Flycatcher
EAGR,EaredGrebe,Eared Grebe,Podiceps nigricollis,Podicipediformes,Podicipedidae,birds,Eared Grebe
EAKI,EasternKingbird,Eastern Kingbird,Tyrannus tyrannus,Passeriformes,Tyrannidae,birds,Eastern Kingbird
EAME,EasternMeadowlark,Eastern Meadowlark,Sturnella magna,Passeriformes,Icteridae,birds,Eastern Meadowlark
EAPH,EasternPhoebe,Eastern Phoebe,Sayornis phoebe,Passeriformes,Tyrannidae,birds,Eastern Phoebe
EUCD,EurasianCollaredDove,Eurasian Collared-Dove,Streptopelia decaocto,Columbiformes,Columbidae,birds,Eurasian Collared-Dove
EUDO,EurasianDotterel,Eurasian Dotterel,Charadrius morinellus,Charadriiformes,Charadriidae,birds,Eurasian Dotterel
EUST,EuropeanStarling,European Starling,Sturnus vulgaris,Passeriformes,Sturnidae,birds,European Starling
